timestamp,latitude,longitude,elevation
2023-08-15T07:00:00+09:00,37.52415,126.93407,10
2023-08-15T07:00:30+09:00,37.52428,126.93461,10
2023-08-15T07:01:00+09:00,37.52441,126.93515,11
2023-08-15T07:01:30+09:00,37.52454,126.93569,11
2023-08-15T07:02:00+09:00,37.52467,126.93623,12
2023-08-15T07:02:30+09:00,37.52480,126.93677,12
2023-08-15T07:03:00+09:00,37.52493,126.93731,13
2023-08-15T07:03:30+09:00,37.52506,126.93785,13
2023-08-15T07:04:00+09:00,37.52519,126.93839,14
2023-08-15T07:04:30+09:00,37.52532,126.93893,14
2023-08-15T07:05:00+09:00,37.52545,126.93947,15
2023-08-15T07:05:30+09:00,37.52558,126.94001,15
2023-08-15T07:06:00+09:00,37.52571,126.94055,16
2023-08-15T07:06:30+09:00,37.52584,126.94109,16
2023-08-15T07:07:00+09:00,37.52597,126.94163,17
2023-08-15T07:07:30+09:00,37.52610,126.94217,17
2023-08-15T07:08:00+09:00,37.52623,126.94271,18
2023-08-15T07:08:30+09:00,37.52636,126.94325,18
2023-08-15T07:09:00+09:00,37.52649,126.94379,19
2023-08-15T07:09:30+09:00,37.52662,126.94433,19
2023-08-15T07:10:00+09:00,37.52675,126.94487,20